VARIABLE,FUENTE,COBERTURA,TIPO,PREPARACION_NECESARIA,USO_POTENCIAL,CLASIFICACION,RIESGO,OBSERVACION,INCLUIDA_V1
qc_price_positive,OP y QC histórico,485/485 filas,boolean,No convertir qc_core_eligible en regla de modelado,Control de calidad; excluir de predictores,D_POSIBLE_LEAKAGE,Depende directamente del target; además exige proof,No verificable históricamente,True
qc_currency_present,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_date_present,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_date_not_future,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_date_valid,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_proof_present,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_proof_visual,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_product_identity,OP y QC histórico,485/485 filas,boolean,Conservar flag; definir política específica después,"Control de calidad, no predictor automático",C_DESCRIPTIVA,Puede codificar selección o disponibilidad posterior; varios son constantes,No verificable históricamente,True
qc_core_eligible,OP y QC histórico,485/485 filas,boolean,No convertir qc_core_eligible en regla de modelado,Control de calidad; excluir de predictores,D_POSIBLE_LEAKAGE,Depende directamente del target; además exige proof,No verificable históricamente,True
product_name,OFF.product.product_name,485/485 filas,string,No codificar texto automáticamente,Nombre comercial,C_DESCRIPTIVA,Posible memorización; estado histórico no verificado,Razonablemente estable como hipótesis; no acreditado históricamente,True
brands,OFF.product.brands,481/485 filas,string,"Normalizar listas, duplicados y faltantes",Marcas declaradas,A_PREDICTOR_CANDIDATO,Cambios temporales; cobertura parcial,Razonablemente estable como hipótesis; no acreditado históricamente,True
categories_tags,OFF.product.categories_tags,483/485 filas,string,Parsear lista; definir codificación posterior,Lista de taxones OFF serializada como JSON,A_PREDICTOR_CANDIDATO,Alta dimensión; taxonomías variables,Potencialmente variable; no acreditado históricamente,True
nutriscore_grade,OFF.product.nutriscore_grade,485/485 filas,string,Separar unknown/not-applicable de grados válidos,Grado a-e o estado informativo,A_PREDICTOR_CANDIDATO,No interpretar presencia como grado válido; cambios de método,Potencialmente variable; no acreditado históricamente,True
nova_group,OFF.product.nova_group,475/485 filas,string,Validar dominio 1-4; representar como categoría,Grupo de procesamiento,A_PREDICTOR_CANDIDATO,Cobertura parcial y composición temporal,Potencialmente variable; no acreditado históricamente,True
off_source_sha256,Catálogo fuente OFF,485/485 filas,string,Excluir de predictores,Huella de origen,B_IDENTIFICADOR_LINAJE,Identificador administrativo sin significado predictivo,No verificable históricamente,True
off_acquired_at,Catálogo OFF.acquired_at,485/485 filas,string,"Metadato UTC, no fecha del precio",Momento de captura de ficha,B_IDENTIFICADOR_LINAJE,Información posterior al evento,No verificable históricamente,True
off_last_modified_t,OFF.product.last_modified_t,485/485 filas,Int64,Convertir UTC solo para auditoría; no predictor,Metadato de versión,D_POSIBLE_LEAKAGE,Puede ser posterior al precio; no prueba historia de atributos,No verificable históricamente,True
off_history_status,Decisión metodológica v1,485/485 filas,string,No usar como predictor; constante,NO_VERIFICABLE_HISTORICAMENTE,C_DESCRIPTIVA,No certifica estabilidad histórica,No verificable históricamente,True
proof_metadata_sha256,OP API proof metadata (proyección),75/485 filas,string,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
proof_metadata_type,OP API proof metadata (proyección),75/485 filas,string,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
proof_prediction_count,OP API proof metadata (proyección),75/485 filas,Int64,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
year,Derivación de date,485/485 filas,Int64,Entero; derivación sin consultar futuro,Año de observación,A_PREDICTOR_CANDIDATO,Definir generalización temporal posterior,"Derivable de la fecha registrada, sin fuentes futuras",True
month,Derivación de date,485/485 filas,Int64,Categoría temporal; codificación posterior,Mes 1-12,A_PREDICTOR_CANDIDATO,No implica relación lineal,"Derivable de la fecha registrada, sin fuentes futuras",True
day_of_week,Derivación de date,485/485 filas,Int64,Categoría temporal; codificación posterior,"Día de semana: lunes 0, domingo 6",A_PREDICTOR_CANDIDATO,No implica distancia continua,"Derivable de la fecha registrada, sin fuentes futuras",True
proof_metadata_available,OP API proof metadata (proyección),485/485 filas,boolean,Nulo es no consultado; False no implica inexistencia,Evidencia y trazabilidad; no predictor,B_IDENTIFICADOR_LINAJE,Evidencia posterior al precio y proofs compartidos; contenido podría filtrar target,No verificable históricamente,True
ingredients_text,OFF archivado,Disponible en archivo privado; no proyectada,No materializada,Texto libre: preparación semántica y privacidad pendientes,Evaluar en estudio posterior,E_REQUIERE_PREPARACION,Disponibilidad no equivale a aptitud predictiva,Texto libre: preparación semántica y privacidad pendientes,False
nutrition,OFF archivado,77/79 productos con objeto nutrition,No materializada,"No proyectada: validar per, preparation, source, source_per, value_computed e input_sets",Evaluar en estudio posterior,E_REQUIERE_PREPARACION,Disponibilidad no equivale a aptitud predictiva,"No proyectada: validar per, preparation, source, source_per, value_computed e input_sets",False
quantity/product_quantity,OFF archivado,Disponible parcialmente en archivo privado; no proyectada,No materializada,No garantiza equivalencia histórica de envase ni permite imputar price_per,Evaluar en estudio posterior,E_REQUIERE_PREPARACION,Disponibilidad no equivale a aptitud predictiva,No garantiza equivalencia histórica de envase ni permite imputar price_per,False
coordenadas/tienda,No proyectado,No incluidas en v1,No materializada,No inventadas; location_id no equivale a nombre de tienda ni a coordenadas,Evaluar en estudio posterior,E_REQUIERE_PREPARACION,Disponibilidad no equivale a aptitud predictiva,No inventadas; location_id no equivale a nombre de tienda ni a coordenadas,False
